[2025-12-04 03:37:12.236] [modengine] [warning] Failed to load file C:\Users\lol13\Downloads\MithMaps\MithMaps\ModFiles\DenMaps\1.7.0-beta19\mod_files/file_modding\asset\aet\aet067\aet067_002.tpf.dcx
[2025-12-04 03:37:12.236] [modengine] [warning] Failed to load file C:\Users\lol13\Downloads\MithMaps\MithMaps\ModFiles\DenMaps\1.7.0-beta19\mod_files/file_modding\asset\aet\aet067\aet067_002.tpf.dcx
[2025-12-04 03:37:12.236] [modengine] [warning] Failed to load file C:\Users\lol13\Downloads\MithMaps\MithMaps\ModFiles\DenMaps\1.7.0-beta19\mod_files/file_modding\asset\aet\aet067\aet067_002.tpf.dcx
[2025-12-04 03:37:12.236] [modengine] [warning] Failed to load file C:\Users\lol13\Downloads\MithMaps\MithMaps\ModFiles\DenMaps\1.7.0-beta19\mod_files/file_modding\asset\aet\aet067\aet067_002.tpf.dcx
[2025-12-04 03:37:12.236] [modengine] [warning] Failed to load file C:\Users\lol13\Downloads\MithMaps\MithMaps\ModFiles\DenMaps\1.7.0-beta19\mod_files/file_modding\asset\aet\aet067\aet067_002.tpf.dcx
[2025-12-04 03:37:12.236] [modengine] [warning] Failed to load file C:\Users\lol13\Downloads\MithMaps\MithMaps\ModFiles\DenMaps\1.7.0-beta19\mod_files/file_modding\asset\aet\aet067\aet067_002.tpf.dcx
[2025-12-04 03:37:12.236] [modengine] [warning] Failed to load file C:\Users\lol13\Downloads\MithMaps\MithMaps\ModFiles\DenMaps\1.7.0-beta19\mod_files/file_modding\asset\aet\aet067\aet067_002.tpf.dcx
[2025-12-04 03:37:12.236] [modengine] [warning] Failed to load file C:\Users\lol13\Downloads\MithMaps\MithMaps\ModFiles\DenMaps\1.7.0-beta19\mod_files/file_modding\asset\aet\aet067\aet067_002.tpf.dcx
[2025-12-04 03:37:12.236] [modengine] [warning] Failed to load file C:\Users\lol13\Downloads\MithMaps\MithMaps\ModFiles\DenMaps\1.7.0-beta19\mod_files/file_modding\asset\aet\aet067\aet067_002.tpf.dcx
[2025-12-04 03:37:12.236] [modengine] [warning] Failed to load file C:\Users\lol13\Downloads\MithMaps\MithMaps\ModFiles\DenMaps\1.7.0-beta19\mod_files/file_modding\asset\aet\aet067\aet067_002.tpf.dcx
[2025-12-04 03:37:12.236] [modengine] [warning] Failed to load file C:\Users\lol13\Downloads\MithMaps\MithMaps\ModFiles\DenMaps\1.7.0-beta19\mod_files/file_modding\asset\aet\aet067\aet067_002.tpf.dcx
[2025-12-04 03:37:12.236] [modengine] [warning] Failed to load file C:\Users\lol13\Downloads\MithMaps\MithMaps\ModFiles\DenMaps\1.7.0-beta19\mod_files/file_modding\asset\aet\aet067\aet067_002.tpf.dcx
[2025-12-04 03:37:12.236] [modengine] [warning] Failed to load file C:\Users\lol13\Downloads\MithMaps\MithMaps\ModFiles\DenMaps\1.7.0-beta19\mod_files/file_modding\asset\aet\aet067\aet067_002.tpf.dcx
[2025-12-04 03:37:12.236] [modengine] [warning] Failed to load file C:\Users\lol13\Downloads\MithMaps\MithMaps\ModFiles\DenMaps\1.7.0-beta19\mod_files/file_modding\asset\aet\aet067\aet067_002.tpf.dcx
[2025-12-04 03:37:12.236] [modengine] [warning] Failed to load file C:\Users\lol13\Downloads\MithMaps\MithMaps\ModFiles\DenMaps\1.7.0-beta19\mod_files/file_modding\asset\aet\aet067\aet067_002.tpf.dcx
[2025-12-04 03:37:12.236] [modengine] [warning] Failed to load file C:\Users\lol13\Downloads\MithMaps\MithMaps\ModFiles\DenMaps\1.7.0-beta19\mod_files/file_modding\asset\aet\aet067\aet067_002.tpf.dcx
